         20505379 function calls in 8.059 seconds

   Ordered by: cumulative time
   List reduced from 82 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      200    0.078    0.000    5.364    0.027 orchestrator.py:64(search)
      200    0.340    0.002    5.270    0.026 sqlite_vec_provider.py:100(retrieve)
    48000    0.113    0.000    3.183    0.000 common.py:10(cosine_similarity)
   144560    1.809    0.000    3.055    0.000 {built-in method builtins.sum}
      120    0.006    0.000    2.696    0.022 orchestrator.py:35(ingest)
      360    2.256    0.006    2.256    0.006 {method 'commit' of 'sqlite3.Connection' objects}
      240    0.001    0.000    1.704    0.007 dedup.py:45(add)
    96000    0.062    0.000    1.190    0.000 __init__.py:304(loads)
    96000    0.105    0.000    1.105    0.000 decoder.py:340(decode)
    96000    0.914    0.000    0.914    0.000 decoder.py:351(raw_decode)
      120    0.004    0.000    0.845    0.007 sqlite_vec_provider.py:50(upsert_chunks)
  6192000    0.463    0.000    0.463    0.000 common.py:13(<genexpr>)
  6192000    0.392    0.000    0.392    0.000 common.py:14(<genexpr>)
  6192000    0.387    0.000    0.387    0.000 common.py:15(<genexpr>)
      920    0.289    0.000    0.289    0.000 {method 'execute' of 'sqlite3.Connection' objects}
    96440    0.031    0.000    0.264    0.000 main.py:240(__init__)
    96440    0.233    0.000    0.233    0.000 {method 'validate_python' of 'pydantic_core._pydantic_core.SchemaValidator' objects}
      200    0.151    0.001    0.151    0.001 {method 'fetchall' of 'sqlite3.Cursor' objects}
      800    0.130    0.000    0.149    0.000 {built-in method _sqlite3.connect}
      240    0.001    0.000    0.084    0.000 dedup.py:37(is_known)
      480    0.001    0.000    0.077    0.000 dedup.py:13(_connect)
      320    0.001    0.000    0.073    0.000 sqlite_vec_provider.py:21(_connect)
   192000    0.054    0.000    0.054    0.000 {method 'match' of 're.Pattern' objects}
      440    0.018    0.000    0.048    0.000 hash_embedder.py:20(embed)
      120    0.000    0.000    0.036    0.000 hash_embedder.py:37(embed_many)
    48000    0.015    0.000    0.028    0.000 common.py:27(from_iso)
   192000    0.021    0.000    0.021    0.000 {method 'end' of 're.Match' objects}
      200    0.008    0.000    0.021    0.000 {method 'sort' of 'list' objects}
   192840    0.020    0.000    0.020    0.000 {built-in method builtins.len}
    96440    0.017    0.000    0.017    0.000 {built-in method math.sqrt}
      800    0.004    0.000    0.015    0.000 functools.py:593(decorating_function)
    48000    0.013    0.000    0.013    0.000 sqlite_vec_provider.py:133(<lambda>)
    96002    0.012    0.000    0.012    0.000 {method 'startswith' of 'str' objects}
    48000    0.012    0.000    0.012    0.000 {built-in method fromisoformat}
      480    0.000    0.000    0.012    0.000 __init__.py:185(dumps)
      480    0.001    0.000    0.012    0.000 encoder.py:185(encode)
    97764    0.011    0.000    0.011    0.000 {built-in method builtins.isinstance}
      800    0.005    0.000    0.011    0.000 functools.py:35(update_wrapper)
      480    0.010    0.000    0.010    0.000 encoder.py:207(iterencode)
    15938    0.010    0.000    0.010    0.000 {built-in method _hashlib.openssl_sha256}


